ImageID,Outfall,Outfall_Spilling,Outfall_Aeration,Outfall_Screen,Sewage_Litter,Rubbish,Obstruction,Modified_Channel,Proportion_Modification,Discolouration,Discolouration_colour,Discolouration_Outfall,Aeration,Aeration_Extent,Sensor,Wildlife,Wildlife_Fish,Wildlife_Algal,Wildlife_Invertebrate,Wildlife_Birds,Wildlife_Other,Plants
GBR202300000000268,N,U,U,U,N,Y,Partial,Y,Minor,Y,U,U,N,None,N,Y,U,Y,U,U,U,Y
UNKXXXX00000000084,Y,Y,N,Y,N,N,None,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
UNKXXXX00000000102,N,U,U,U,N,N,None,Y,Partial,Y,U,N,Y,Full,N,N,N,N,N,N,N,Y
GBR202300000000076,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
GBR201700000000108,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000202,N,U,U,U,U,N,None,N,None,Y,#808000,N,N,None,N,Y,U,Y,U,Y,N,Y
GBR201700000000104,Y,Y,N,Y,N,N,Minor,Y,Full,Y,U,Y,N,None,N,N,N,N,N,N,N,N
GBR201700000000045,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000515,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,U,U,U,U,U,U,Y
UNKXXXX00000000122,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,N,N,N,N
UNKXXXX00000000057,N,U,U,U,N,Y,Partial,Y,Full,Y,#C2B280,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000163,N,U,U,U,N,Y,Minor,N,None,Y,#567D46,N,N,None,N,N,U,Y,U,U,U,Y
GBR202300000000004,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,Y,U,N,Y
GBR201700000000075,N,U,U,U,N,N,Minor,N,None,Y,#8B4513,N,Y,Minor,N,N,U,U,U,U,U,Y
UNKXXXX00000000030,Y,N,N,N,U,Y,Minor,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000001,Y,Y,N,N,N,Y,Minor,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000220,N,U,U,U,U,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,Y,U,Y
GBR202300000000081,N,U,U,U,N,Y,Minor,Y,Partial,N,U,U,N,None,N,Y,U,N,U,U,U,Y
GBR202300000000156,N,U,U,U,N,N,Minor,N,U,N,U,U,N,None,N,U,U,U,U,U,U,Y
GBR201700000000073,Y,Y,Y,N,N,Y,Minor,Y,Partial,Y,U,Y,Y,Minor,N,N,N,N,N,N,N,Y
